second,tyres,driver_fatigue,thermal,hydraulics,brakes,fuel_system,hdi_score,status,pit_triggered
1,45,52,65,29,44,15,46.75,SAFE (System HDI: 46.8),False
2,53,56,37,36,27,14,43.45,SAFE (System HDI: 43.5),False
3,29,64,36,34,38,12,39.95,SAFE (System HDI: 40.0),False
4,28,63,63,32,19,12,42.65,SAFE (System HDI: 42.6),False
5,47,44,36,14,22,20,35.25,SAFE (System HDI: 35.2),False
6,54,54,44,21,39,23,44.0,SAFE (System HDI: 44.0),False
7,27,64,33,13,46,17,36.75,SAFE (System HDI: 36.8),False
8,58,44,60,39,34,20,47.75,SAFE (System HDI: 47.8),False
9,27,54,52,13,15,23,35.25,SAFE (System HDI: 35.2),False
10,45,47,56,40,16,20,42.800000000000004,SAFE (System HDI: 42.8),False
11,21,74,54,21,15,18,40.1,SAFE (System HDI: 40.1),False
12,50,55,41,35,40,17,44.550000000000004,SAFE (System HDI: 44.6),False
13,59,68,46,26,45,8,49.75,SAFE (System HDI: 49.8),False
14,55,49,55,19,30,21,43.9,SAFE (System HDI: 43.9),False
15,29,52,40,23,19,22,34.7,SAFE (System HDI: 34.7),False
16,57,47,52,24,22,23,43.35,SAFE (System HDI: 43.4),False
17,27,60,37,28,28,16,36.95,SAFE (System HDI: 37.0),False
18,52,65,44,26,37,19,46.6,SAFE (System HDI: 46.6),False
19,56,53,39,40,36,14,45.35,SAFE (System HDI: 45.4),False
20,57,64,64,11,47,12,50.0,SAFE (System HDI: 50.0),False
21,31,56,34,18,20,14,33.95,SAFE (System HDI: 34.0),False
22,48,54,35,11,48,6,39.25,SAFE (System HDI: 39.2),False
23,37,43,32,13,43,11,33.2,SAFE (System HDI: 33.2),False
24,47,59,41,16,48,8,42.300000000000004,SAFE (System HDI: 42.3),False
25,58,48,41,33,21,9,42.2,SAFE (System HDI: 42.2),False
26,38,72,46,37,40,20,47.25,SAFE (System HDI: 47.2),False
27,47,72,41,22,25,25,45.0,SAFE (System HDI: 45.0),False
28,45,88,50,20,30,15,50.0,BIOLOGICAL VETO: FATIGUE LIMIT CROSSED (88),True
